
2021-08-05 15:38:37

+------+------------------+--------+--------+--------+----------+
| 排名 |    国家或地区    | 金牌数 | 银牌数 | 铜牌数 | 总获奖数 |
|  76  | 土库曼斯坦       |   0    |   1    |   0    |    1     |
|  76  |  北马其顿        |   0    |   1    |   0    |    1     |
|  76  |  纳米比亚        |   0    |   1    |   0    |    1     |
|  76  |  立陶宛          |   0    |   1    |   0    |    1     |
|  76  |   巴林           |   0    |   1    |   0    |    1     |
|  76  | 沙特阿拉伯       |   0    |   1    |   0    |    1     |
|  82  | 哈萨克斯坦       |   0    |   0    |   8    |    8     |
|  83  |  墨西哥          |   0    |   0    |   4    |    4     |
|  84  |   芬兰           |   0    |   0    |   2    |    2     |
|  85  |  科威特          |   0    |   0    |   1    |    1     |
|  85  |  科特迪瓦        |   0    |   0    |   1    |    1     |
|  85  |  马来西亚        |   0    |   0    |   1    |    1     |
|  85  |   加纳           |   0    |   0    |   1    |    1     |
|  85  |  叙利亚          |   0    |   0    |   1    |    1     |
|  85  | 布基纳法索       |   0    |   0    |   1    |    1     |
|  85  |  格林纳达        |   0    |   0    |   1    |    1     |
|  85  |  摩尔多瓦        |   0    |   0    |   1    |    1     |
|  85  |  博茨瓦纳        |   0    |   0    |   1    |    1     |
+------+------------------+--------+--------+--------+----------+

2021-08-08 13:49:17

+------+------------------+--------+--------+--------+----------+
| 排名 |    国家或地区    | 金牌数 | 银牌数 | 铜牌数 | 总获奖数 |
+------+------------------+--------+--------+--------+----------+
|  1   |   美国           |   38   |   40   |   33   |   111    |
|  2   |   中国           |   38   |   31   |   18   |    87    |
|  3   |   日本           |   27   |   14   |   17   |    58    |
|  4   |   英国           |   21   |   21   |   22   |    64    |
|  5   | 俄罗斯奥运队     |   20   |   27   |   23   |    70    |
|  6   |  澳大利亚        |   17   |   7    |   22   |    46    |
|  7   |   荷兰           |   10   |   12   |   14   |    36    |
|  8   |   德国           |   10   |   11   |   16   |    37    |
|  9   |  意大利          |   10   |   10   |   20   |    40    |
|  10  |   法国           |   9    |   12   |   11   |    32    |
|  11  |  加拿大          |   7    |   6    |   11   |    24    |
|  12  |  新西兰          |   7    |   6    |   7    |    20    |
|  13  |   巴西           |   7    |   5    |   8    |    20    |
|  14  |   古巴           |   7    |   3    |   5    |    15    |
|  15  |  匈牙利          |   6    |   7    |   7    |    20    |
|  16  |   韩国           |   6    |   4    |   10   |    20    |
|  17  |   波兰           |   4    |   5    |   5    |    14    |
|  18  |   捷克           |   4    |   4    |   3    |    11    |
|  19  |  肯尼亚          |   4    |   4    |   2    |    10    |
|  20  |   挪威           |   4    |   2    |   2    |    8     |
|  21  |  牙买加          |   4    |   1    |   4    |    9     |
|  22  |  西班牙          |   3    |   8    |   6    |    17    |
|  23  |   瑞典           |   3    |   6    |   0    |    9     |
|  24  |   瑞士           |   3    |   4    |   6    |    13    |
|  25  |   丹麦           |   3    |   4    |   4    |    11    |
|  26  |  克罗地亚        |   3    |   3    |   2    |    8     |
|  27  |   伊朗           |   3    |   2    |   2    |    7     |
|  28  |  比利时          |   3    |   1    |   3    |    7     |
|  29  |  保加利亚        |   3    |   1    |   2    |    6     |
|  30  | 斯洛文尼亚       |   3    |   1    |   1    |    5     |
|  31  |  格鲁吉亚        |   2    |   5    |   1    |    8     |
|  32  |  中国台北        |   2    |   4    |   6    |    12    |
|  33  |  土耳其          |   2    |   2    |   9    |    13    |
|  34  |  塞尔维亚        |   2    |   1    |   5    |    8     |
|  35  |  乌干达          |   2    |   1    |   1    |    4     |
|  36  |  厄瓜多尔        |   2    |   1    |   0    |    3     |
|  37  |  以色列          |   2    |   0    |   2    |    4     |
|  37  | 乌兹别克斯坦     |   2    |   0    |   2    |    4     |
|  37  |  爱尔兰          |   2    |   0    |   2    |    4     |
|  40  |   希腊           |   2    |   0    |   1    |    3     |
|  40  |  卡塔尔          |   2    |   0    |   1    |    3     |
|  42  |  科索沃          |   2    |   0    |   0    |    2     |
|  42  |  巴哈马          |   2    |   0    |   0    |    2     |
|  44  |  乌克兰          |   1    |   6    |   12   |    19    |
|  45  |  白俄罗斯        |   1    |   3    |   3    |    7     |
|  46  |  罗马尼亚        |   1    |   3    |   0    |    4     |
|  46  |  委内瑞拉        |   1    |   3    |   0    |    4     |
|  48  |   印度           |   1    |   2    |   4    |    7     |
|  49  |  中国香港        |   1    |   2    |   3    |    6     |
|  50  |  菲律宾          |   1    |   2    |   1    |    4     |
|  50  |  斯洛伐克        |   1    |   2    |   1    |    4     |
|  52  |   南非           |   1    |   2    |   0    |    3     |
|  53  |  奥地利          |   1    |   1    |   5    |    7     |
|  54  |   埃及           |   1    |   1    |   4    |    6     |
|  55  | 印度尼西亚       |   1    |   1    |   3    |    5     |
|  56  |  葡萄牙          |   1    |   1    |   2    |    4     |
|  56  | 埃塞俄比亚       |   1    |   1    |   2    |    4     |
|  58  |  突尼斯          |   1    |   1    |   0    |    2     |
|  59  |  爱沙尼亚        |   1    |   0    |   1    |    2     |
|  59  |   泰国           |   1    |   0    |   1    |    2     |
|  59  |   斐济           |   1    |   0    |   1    |    2     |
|  59  |  拉脱维亚        |   1    |   0    |   1    |    2     |
|  63  |  百慕大          |   1    |   0    |   0    |    1     |
|  63  |  波多黎各        |   1    |   0    |   0    |    1     |
|  63  |  摩洛哥          |   1    |   0    |   0    |    1     |
|  66  |  哥伦比亚        |   0    |   4    |   1    |    5     |
|  67  |  阿塞拜疆        |   0    |   3    |   4    |    7     |
|  68  |  多米尼加        |   0    |   3    |   2    |    5     |
|  69  |  亚美尼亚        |   0    |   2    |   2    |    4     |
|  70  | 吉尔吉斯斯坦     |   0    |   2    |   1    |    3     |
|  71  |   蒙古           |   0    |   1    |   3    |    4     |
|  72  |  阿根廷          |   0    |   1    |   2    |    3     |
|  72  |  圣马力诺        |   0    |   1    |   2    |    3     |
|  74  |   约旦           |   0    |   1    |   1    |    2     |
|  74  |  马来西亚        |   0    |   1    |   1    |    2     |
|  74  |  尼日利亚        |   0    |   1    |   1    |    2     |
|  77  | 土库曼斯坦       |   0    |   1    |   0    |    1     |
|  77  |  北马其顿        |   0    |   1    |   0    |    1     |
|  77  |  纳米比亚        |   0    |   1    |   0    |    1     |
|  77  |  立陶宛          |   0    |   1    |   0    |    1     |
|  77  |   巴林           |   0    |   1    |   0    |    1     |
|  77  | 沙特阿拉伯       |   0    |   1    |   0    |    1     |
|  83  | 哈萨克斯坦       |   0    |   0    |   8    |    8     |
|  84  |  墨西哥          |   0    |   0    |   4    |    4     |
|  85  |   芬兰           |   0    |   0    |   2    |    2     |
|  86  |  科威特          |   0    |   0    |   1    |    1     |
|  86  |  科特迪瓦        |   0    |   0    |   1    |    1     |
|  86  |   加纳           |   0    |   0    |   1    |    1     |
|  86  |  叙利亚          |   0    |   0    |   1    |    1     |
|  86  | 布基纳法索       |   0    |   0    |   1    |    1     |
|  86  |  格林纳达        |   0    |   0    |   1    |    1     |
|  86  |  摩尔多瓦        |   0    |   0    |   1    |    1     |
|  86  |  博茨瓦纳        |   0    |   0    |   1    |    1     |
+------+------------------+--------+--------+--------+----------+
